url,slug,page_type,service,main_location,primary_keyword_intent,parent_hub,gsc_clicks_20260902_17,gsc_impressions_20260902_17,gsc_avg_position_20260902_17,gsc_hosts_seen,protection_status,slug_action,current_primary_image,status,notes,top_queries,cannibalisation_flags,opportunity_action
https://asbestosremovalsinlondon.co.uk/,index.html,homepage,asbestos removal,London,asbestos removal London,,27,10389,22.51,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos removal [811 imp, pos 32.8, 2 clicks] | asbestos removal london [763 imp, pos 11.9, 11 clicks] | asbestos removal company [452 imp, pos 26.4] | asbestos removal services [354 imp, pos 43.4] | asbestos removal near me [310 imp, pos 20.2]","asbestos removal london <> locations.html (79 imp,pos 73.5); asbestos8203-8203disposal8203-8203in8203-8203london.html (53 imp,pos 72.1) | asbestos disposal london <> asbestos8203-8203disposal8203-8203in8203-8203london.html (33 imp,pos 80.1)",PROTECT homepage; preserve URL/title/H1; monitor www->non-www migration and strengthen child-page query ownership
https://asbestosremovalsinlondon.co.uk/asbestos-removal-kingston.html,asbestos-removal-kingston.html,sub-area/location,asbestos removal,Kingston,asbestos removal kingston,/locations.html,0,1337,38.64,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos insulation board removal kingston upon thames [50 imp, pos 17.7] | asbestos removal kingston upon thames [49 imp, pos 39.4] | aib removal kingston upon thames [48 imp, pos 20.9] | asbestos chimney flue removal kingston upon thames [47 imp, pos 26.5] | artex asbestos removal kingston upon thames [44 imp, pos 16.9]","asbestos insulation board removal kingston upon thames <> asbestos-removal-kingston-upon-thames-london.html (27 imp,pos 63.0) | asbestos removal kingston upon thames <> asbestos-removal-kingston-upon-thames-london.html (38 imp,pos 27.7) | aib removal kingston upon thames <> asbestos-removal-kingston-upon-thames-london.html (38 imp,pos 7.3); asbestos-aib-removal-london.html (28 imp,pos 69.4) | asbestos chimney flue removal kingston upon thames <> asbestos-removal-kingston-upon-thames-london.html (28 imp,pos 31.6)",PROTECT both; do not merge yet; split query ownership and local buyer fingerprints first
https://asbestosremovalsinlondon.co.uk/asbestos-removal-kingston-upon-thames-london.html,asbestos-removal-kingston-upon-thames-london.html,borough/region,asbestos removal,Kingston Upon Thames,asbestos removal kingston upon thames,/locations.html,0,1261,34.45,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos garage roof disposal kingston upon thames [39 imp, pos 37.3] | aib removal kingston upon thames [38 imp, pos 7.3] | asbestos removal kingston upon thames [38 imp, pos 27.7] | asbestos garage roof removal kingston upon thames [35 imp, pos 38.2] | asbestos flue pipe removal kingston upon thames [34 imp, pos 9.4]","asbestos garage roof disposal kingston upon thames <> asbestos-removal-kingston.html (31 imp,pos 36.8) | aib removal kingston upon thames <> asbestos-removal-kingston.html (48 imp,pos 20.9); asbestos-aib-removal-london.html (28 imp,pos 69.4) | asbestos removal kingston upon thames <> asbestos-removal-kingston.html (49 imp,pos 39.4) | asbestos garage roof removal kingston upon thames <> asbestos-removal-kingston.html (34 imp,pos 30.1)",PROTECT both; do not merge yet; split query ownership and local buyer fingerprints first
https://asbestosremovalsinlondon.co.uk/asbestos-removal-croydon-london.html,asbestos-removal-croydon-london.html,borough/region,asbestos removal,Croydon,asbestos removal croydon,/locations.html,0,1107,29.85,www.asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos removal croydon [235 imp, pos 30.5] | asbestos garage removals in croydon [32 imp, pos 27.5] | asbestos floor tiles removals in croydon [30 imp, pos 31.7] | asbestos clearance in croydon [28 imp, pos 29.6] | asbestos removal in croydon [28 imp, pos 30.7]","asbestos garage removals in croydon <> asbestos-garage-removal-in-london.html (26 imp,pos 52.8)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-floor-removal-london.html,asbestos-floor-removal-london.html,service/support,asbestos floor removal london,London,asbestos floor removal london,/asbestos-removal-services.html,0,815,35.49,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos flooring removal [99 imp, pos 49.7] | asbestos tile removal [54 imp, pos 53.2] | asbestos floor tile removal [50 imp, pos 51.0] | asbestos floor tile removal london [45 imp, pos 26.9] | asbestos floor tiles removal kingston upon thames [41 imp, pos 16.2]","asbestos floor tile removal london <> index.html (78 imp,pos 18.6); asbestos-removal-services.html (35 imp,pos 68.3) | asbestos floor tiles removal kingston upon thames <> asbestos-removal-kingston.html (36 imp,pos 59.5); asbestos-removal-kingston-upon-thames-london.html (27 imp,pos 45.4) | asbestos floor tiles removal london <> index.html (53 imp,pos 22.5); asbestos-removal-services.html (38 imp,pos 70.2) | asbestos floor tiles removals in banstead <> asbestos-removal-wanstead.html (27 imp,pos 83.3)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-artex-removal-twickenham.html,asbestos-artex-removal-twickenham.html,service/support,asbestos artex removal twickenham,,asbestos artex removal twickenham,/asbestos-removal-services.html,0,587,38.97,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"artex asbestos removal kingston upon thames [36 imp, pos 56.4] | artex removal twickenham [34 imp, pos 7.1] | asbestos removal twickenham [33 imp, pos 27.1] | artex removal company kingston upon thames [29 imp, pos 56.4] | asbestos removal services teddington [29 imp, pos 59.3]","artex asbestos removal kingston upon thames <> asbestos-removal-kingston.html (44 imp,pos 16.9); asbestos-removal-kingston-upon-thames-london.html (30 imp,pos 38.2) | artex removal twickenham <> asbestos-removal-richmond.html (17 imp,pos 29.6); asbestos-removal-richmond-upon-thames-london.html (13 imp,pos 37.6) | asbestos removal twickenham <> asbestos-removal-twickenham.html (36 imp,pos 16.9); asbestos-removal-richmond-upon-thames-london.html (11 imp,pos 56.0) | artex removal company kingston upon thames <> asbestos-removal-kingston.html (39 imp,pos 14.5); asbestos-artex-removal-london.html (29 imp,pos 40.6)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-artex-removal-london.html,asbestos-artex-removal-london.html,service/support,asbestos artex removal london,London,asbestos artex removal london,/asbestos-removal-services.html,7,541,23.51,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos artex removal london [56 imp, pos 12.8, 6 clicks] | artex ceiling contractors london [30 imp, pos 5.9] | artex removal kingston upon thames [29 imp, pos 32.6] | artex removal sutton [29 imp, pos 40.0] | artex removal company kingston upon thames [29 imp, pos 40.6]","asbestos artex removal london <> index.html (88 imp,pos 8.8); asbestos-artex-removal-twickenham.html (27 imp,pos 31.9) | artex removal kingston upon thames <> asbestos-removal-kingston.html (36 imp,pos 13.1); asbestos-removal-kingston-upon-thames-london.html (19 imp,pos 47.8) | artex removal sutton <> asbestos-removal-sutton-london.html (45 imp,pos 20.8); asbestos-removal-sutton.html (20 imp,pos 17.7) | artex removal company kingston upon thames <> asbestos-removal-kingston.html (39 imp,pos 14.5); asbestos-artex-removal-twickenham.html (29 imp,pos 56.4)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-garage-removal-in-london.html,asbestos-garage-removal-in-london.html,service/support,asbestos garage removal in london,London,asbestos garage removal in london,/asbestos-removal-services.html,0,531,37.83,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos garage removal [250 imp, pos 27.0] | asbestos garage roof removal london [52 imp, pos 50.8] | asbestos roof removal london [47 imp, pos 76.6] | asbestos shed roof removal london [28 imp, pos 30.5] | asbestos garage removals in croydon [26 imp, pos 52.8]","asbestos garage roof removal london <> asbestos-garage-roof-removal-in-london.html (52 imp,pos 37.1); index.html (26 imp,pos 23.2) | asbestos roof removal london <> index.html (69 imp,pos 16.8); asbestos-garage-roof-removal-in-london.html (51 imp,pos 47.8) | asbestos shed roof removal london <> asbestos-garage-roof-removal-in-london.html (26 imp,pos 20.9) | asbestos garage removals in croydon <> asbestos-removal-croydon-london.html (32 imp,pos 27.5)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/commercial-asbestos-removal-london.html,commercial-asbestos-removal-london.html,commercial service,commercial asbestos removal,London,commercial asbestos removal London,/asbestos-removal-services.html,0,428,29.59,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"commercial asbestos removal [365 imp, pos 27.3] | commercial asbestos removal uk [13 imp, pos 26.6] | commercial asbestos removal in london [11 imp, pos 55.3] | asbestos removal commercial [10 imp, pos 27.5] | asbestos removal commercial buildings [8 imp, pos 30.3]","commercial asbestos removal <> index.html (14 imp,pos 12.6) | commercial asbestos removal in london <> index.html (36 imp,pos 6.0); asbestos-removal-services.html (13 imp,pos 73.4) | commercial asbestos removal company <> index.html (12 imp,pos 38.2)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-removal-twickenham.html,asbestos-removal-twickenham.html,sub-area/location,asbestos removal,Twickenham,asbestos removal twickenham,/locations.html,0,424,25.25,www.asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos removal twickenham [36 imp, pos 16.9] | popcorn ceiling removal sutton [30 imp, pos 14.0] | asbestos removal services twickenham [29 imp, pos 14.1] | asbestos roofs removal twickenham [28 imp, pos 15.9] | asbestos removal in sutton [27 imp, pos 61.0]","asbestos removal twickenham <> asbestos-artex-removal-twickenham.html (33 imp,pos 27.1); asbestos-removal-richmond-upon-thames-london.html (11 imp,pos 56.0) | popcorn ceiling removal sutton <> asbestos-removal-sutton-london.html (17 imp,pos 63.0) | asbestos removal services twickenham <> asbestos-artex-removal-twickenham.html (27 imp,pos 40.1); asbestos-removal-richmond-upon-thames-london.html (10 imp,pos 69.2) | asbestos roofs removal twickenham <> asbestos-artex-removal-twickenham.html (24 imp,pos 47.5)",Surgical improvement only; preserve URL and proven primary intent
