page,source,dest,place,postcode,lat,lon,service,subject,primary,source_url,title,alt,caption,width,height
asbestos-removal-sutton.html,media/asbestos-artex-removal-sutton-town-centre-sm1.webp,media/asbestos-artex-removal-sutton-town-centre-sm1.webp,Sutton town centre,SM1,51.36397,-0.19348,Asbestos Artex removal Sutton,textured ceiling with a patterned finish,True,https://www.ukcitymap.com/sutton-greater-london-england-satellite-view.html,Asbestos Artex removal Sutton – Sutton town centre SM1,Asbestos Artex removal Sutton – textured ceiling with a patterned finish; Sutton town centre SM1,Asbestos Artex removal Sutton – Sutton town centre SM1. Textured ceiling with a patterned finish.,2048,1536
asbestos-removal-sutton.html,asbestos-artex-textured-ceiling-london.webp,media/asbestos-textured-coating-removal-sutton-station-sm1.webp,Sutton Station,SM1,51.359532,-0.191215,Asbestos textured coating removal Sutton,textured coating across a ceiling,False,https://www.ukcitymap.com/sutton-railway-station.html,Asbestos textured coating removal Sutton – Sutton Station SM1,Asbestos textured coating removal Sutton – textured coating across a ceiling; Sutton Station SM1,Asbestos textured coating removal Sutton – Sutton Station SM1. Textured coating across a ceiling.,2048,1536
asbestos-removal-sutton.html,asbestos-aib-fireplace-removal-london.webp,media/asbestos-aib-removal-sutton-grove-road-sm1.webp,"Grove Road, Sutton",SM1,51.360058,-0.192602,Asbestos AIB removal Sutton,opened fireplace and exposed surrounding surfaces,False,https://www.ukcitymap.com/sutton-head-post-office-stop-r-info-490013082R.html,"Asbestos AIB removal Sutton – Grove Road, Sutton SM1","Asbestos AIB removal Sutton – opened fireplace and exposed surrounding surfaces; Grove Road, Sutton SM1","Asbestos AIB removal Sutton – Grove Road, Sutton SM1. Opened fireplace and exposed surrounding surfaces.",549,699
asbestos-removal-sutton.html,asbestos-garage-roof-london.webp,media/asbestos-garage-roof-removal-sutton-west-sutton-sm1.webp,West Sutton,SM1,51.365852,-0.205173,Asbestos garage roof removal Sutton,garage with corrugated roof sheets and cladding,False,https://www.ukcitymap.com/west-sutton-railway-station.html,Asbestos garage roof removal Sutton – West Sutton SM1,Asbestos garage roof removal Sutton – garage with corrugated roof sheets and cladding; West Sutton SM1,Asbestos garage roof removal Sutton – West Sutton SM1. Garage with corrugated roof sheets and cladding.,1200,899
asbestos-removal-sutton.html,commercial-asbestos-roof-removal-london.webp,media/asbestos-roof-removal-sutton-sutton-common-sm1.webp,Sutton Common,SM1,51.374889,-0.196343,Asbestos roof removal Sutton,large pitched corrugated roof above a brick building,False,https://www.ukcitymap.com/sutton-common-railway-station.html,Asbestos roof removal Sutton – Sutton Common SM1,Asbestos roof removal Sutton – large pitched corrugated roof above a brick building; Sutton Common SM1,Asbestos roof removal Sutton – Sutton Common SM1. Large pitched corrugated roof above a brick building.,1600,1200
asbestos-removal-sutton-london.html,media/asbestos-removal-sutton-beddington-sm6.webp,media/asbestos-removal-sutton-borough-centre-sm1.webp,Sutton borough centre,SM1,51.36397,-0.19348,Asbestos Removal Sutton,screened enclosure with taped access doors and an asbestos warning sign,True,https://www.ukcitymap.com/sutton-greater-london-england-satellite-view.html,Asbestos Removal Sutton – Sutton borough centre SM1,Asbestos Removal Sutton – screened enclosure with taped access doors and an asbestos warning sign; Sutton borough centre SM1,Asbestos Removal Sutton – Sutton borough centre SM1. Screened enclosure with taped access doors and an asbestos warning sign.,1672,941
asbestos-removal-sutton-london.html,asbestos-aib-fireplace-removal-london.webp,media/asbestos-aib-removal-sutton-grove-road-sm1.webp,"Grove Road, Sutton",SM1,51.360058,-0.192602,Asbestos AIB removal Sutton,opened fireplace and exposed surrounding surfaces,False,https://www.ukcitymap.com/sutton-head-post-office-stop-r-info-490013082R.html,"Asbestos AIB removal Sutton – Grove Road, Sutton SM1","Asbestos AIB removal Sutton – opened fireplace and exposed surrounding surfaces; Grove Road, Sutton SM1","Asbestos AIB removal Sutton – Grove Road, Sutton SM1. Opened fireplace and exposed surrounding surfaces.",549,699
asbestos-removal-sutton-london.html,commercial-asbestos-roof-removal-london.webp,media/asbestos-roof-removal-sutton-sutton-common-sm1.webp,Sutton Common,SM1,51.374889,-0.196343,Asbestos roof removal Sutton,large pitched corrugated roof above a brick building,False,https://www.ukcitymap.com/sutton-common-railway-station.html,Asbestos roof removal Sutton – Sutton Common SM1,Asbestos roof removal Sutton – large pitched corrugated roof above a brick building; Sutton Common SM1,Asbestos roof removal Sutton – Sutton Common SM1. Large pitched corrugated roof above a brick building.,1600,1200
asbestos-removal-barnet-london.html,asbestos-floor-tile-removal-richmond.webp,media/asbestos-floor-tile-removal-barnet-london-high-barnet-en5.webp,High Barnet,EN5,51.65338,-0.20731,Asbestos floor tile removal Barnet,exposed dark floor finish beside a skirting board,True,https://www.ukcitymap.com/chipping-barnet-high-barnet-greater-london-england-satellite-view.html,Asbestos Removal Barnet - asbestos floor tile removal - High Barnet EN5,Asbestos Removal Barnet - asbestos floor tile removal - High Barnet EN5; exposed dark floor finish beside a skirting board,Asbestos Removal Barnet - asbestos floor tile removal - High Barnet EN5. Exposed dark floor finish beside a skirting board.,1350,1800
asbestos-removal-barnet-london.html,asbestos-garage-roof-london.webp,media/asbestos-garage-roof-removal-barnet-london-high-barnet-station-en5.webp,High Barnet station,EN5,51.650541,-0.194298,Asbestos garage roof removal Barnet,garage with corrugated roof sheets and wall cladding,False,https://www.ukcitymap.com/high-barnet-underground-station-info-9400ZZLUHBT.html,Asbestos garage roof removal Barnet - High Barnet station EN5,Asbestos garage roof removal Barnet - High Barnet station EN5; garage with corrugated roof sheets and wall cladding,Asbestos garage roof removal Barnet - High Barnet station EN5. Garage with corrugated roof sheets and wall cladding.,1200,899
asbestos-removal-barnet-london.html,asbestos-artex-textured-ceiling-london.webp,media/asbestos-artex-removal-barnet-london-barnet-church-wood-street-en5.webp,Barnet Church Wood Street,EN5,51.65298,-0.20232,Asbestos Artex removal Barnet,patterned textured ceiling with cornice detailing,False,https://gb.geoview.info/barnet_church_wood_street%2C469786674n,Asbestos Artex removal Barnet - Barnet Church Wood Street EN5,Asbestos Artex removal Barnet - Barnet Church Wood Street EN5; patterned textured ceiling with cornice detailing,Asbestos Artex removal Barnet - Barnet Church Wood Street EN5. Patterned textured ceiling with cornice detailing.,2048,1536
asbestos-removal-croydon-london.html,asbestos-garage-roof-london.webp,media/asbestos-garage-roof-removal-croydon-london-east-croydon-cr0.webp,East Croydon,CR0,51.375452,-0.09278,Asbestos garage roof removal Croydon borough,garage with corrugated roof sheets and wall cladding,True,https://www.ukcitymap.com/east-croydon-railway-station.html,Asbestos Removal Croydon borough - asbestos garage roof removal - East Croydon CR0,Asbestos Removal Croydon borough - asbestos garage roof removal - East Croydon CR0; garage with corrugated roof sheets and wall cladding,Asbestos Removal Croydon borough - asbestos garage roof removal - East Croydon CR0. Garage with corrugated roof sheets and wall cladding.,1200,899
asbestos-removal-croydon-london.html,commercial-asbestos-roof-removal-london.webp,media/asbestos-roof-removal-croydon-london-croydon-library-cr0.webp,Croydon Library,CR0,51.372467,-0.099887,Asbestos roof removal Croydon borough,large pitched corrugated roof above a brick building,False,https://www.ukcitymap.com/croydon-library-stop-kk-info-490005858C5.html,Asbestos roof removal Croydon borough - Croydon Library CR0,Asbestos roof removal Croydon borough - Croydon Library CR0; large pitched corrugated roof above a brick building,Asbestos roof removal Croydon borough - Croydon Library CR0. Large pitched corrugated roof above a brick building.,1600,1200
